p1.key,p1.hotel_name,p1.city_name,p1.country_code,p1.hotel_address,p1.star_rating,p1.postal_code,p2.key,p2.hotel_name,p2.city_name,p2.country_code,p2.hotel_address,p2.star_rating,p2.postal_code
949E8F6CB6D6BA9C3626CD25AF581881,Inn The City Business Hotel,Seoul,KR,"677-8, Yeoksam 1-dong, Gangnam-gu",2.5,135-915,1FA93318A0A746C932AB849D9A7C1803,Inn The City Hotel,Seoul,KR,"677-8 Yeoksam-dong, Gangname-Gu",3,135-915
5AAADC6BF6FE207C7A573362A8B5371E,Khumsuk Resort,Chiang Saen,TH,157 Moo 1 Samlianmthongkham T.wiang A. Chiangsean,1.5,57150,F5DDE49DDC6FE80D92656C7F857173EA,Khamsuk Resort,Golden Triangle,TH,"436 Moo 1, T. Wiang, A. Chiang Saen",3,57150
CADB7E3E6DE2758A101822471F645BAA,Foshan Baolong Hotel,Foshan,CN,"No.29, Taobo Avenue, Nanzhuang Town",4,528000,D1F256C1432A023EE40AD50DB8D0E427,Foshan Baolong International Hotel,Foshan,CN,No.29 Taobo avenue,4,528061
1D8A0867FF6F9FDAFB64E0ED835FE1DE,Irokan Ryokan,Shizuoka,JP,"204-2, Shimogamo",3,415-0303,B45B005796754D8A2404BDDA6338FB14,Iroukan,Minamiizu,JP,Shimogamo 204-2,3,415-0303
B3A65C695940EBD91ADFC7403C53DCA2,Park Wood Hotel,Novosibirsk,RU,Arbyzova 6/2,4,630117,840BC3139575B208CC6D212396756CA6,Park Wood Hotel - Academgorodok,Novosibirsk,RU,Arbuzova Ulitsa 6/2,4,630117
0D4EA1ECCBF32E7AAF5A6F5531736A0E,Ibiza Kenting Hotel II,Kenting,TW,No.27 Tong Hai street,3,946,36F33211B97EAB3D218F342893EAB988,Ibizakenting Hotel II,Kenting,TW,"No. 27, Tonghai Lane, Kending Road",0,964
62246057D6E1204D045149335BDBC0B9,Mercure Koh Samui Beach Resort,Samui,TH,"26/1-3 Moo 3, Maret District, Koh Samui, Suratthani",4,84310,B3C2515BB2EA31B465A87756FA5D9871,Mercure Koh Samui Beach Resort,Lamai Beach,TH,"26/1-3 Moo 3, T. Maret, Lamai Beach, Koh Samui",4,84310
33653C7AB44676D54CDCBAA5F7FE1512,J & I Home,Taichung,TW,"No.9-11, Nanzi Ln., Sec. 2, Xitun Rd.",1.5,40744,26BDA6E48E55DD93A0E9B25E0C645F11,J & I Home,Xitun,TW,"No. 9-11 Nanzi Lane, Section 2, Xitun Road",0,40744
E60711C0DB14170D736E9098C7448027,Homewood Suites by Hilton College Station,College Station (TX),US,950 University Drive East,3,77840,E8D802439922EC3F58B61B69A83E468C,Homewood Suites by Hilton College Station,College Station,US,950 University Drive East,3,77840
576546995FF3A09742360908ECAA66DD,Rachamankha Thai Villa,Chiang Mai,TH,"182/1 Rachamankha Rd.T,Phrasing,Muang Chiangmai",2,50200,02CB827B6F78EC608A1FED7CDA7EA08C,Rachamankha Thai Villa,Chiang Mai,TH,"182/1 Rachamankha Rd., Phrasing, Muang",0,50200
1A8E140E964BF7914329E25A9450E8CD,Page 3 Lodge,Manali,IN,"Near Club House, Shnag Road, Old Manali",1,175131,519AC2F6B5CB10AA6607E9E38672FB98,Page3 Lodge,Manāli,IN,"Shenag Road, 100 Mt ahead of Old Manali, Himachal Pradesh",0,175131
D437E8C0CBE95A666F24513CD5B6AF02,De Vere Devonport House,London,GB,King William Walk,4,SE10 9JW,775E4526AFDFEE324764BAF3229C212D,De Vere Devonport House,London,GB,King William Walk,4,SE10 9JW 
F19A4A205B6FC44FCF0AF19E44D71D2C,The Dhara Dhevi Hotel Chiang Mai,Chiang Mai,TH,"51/4 Chiang Mai - Sankampaeng Road Moo 1, Amphur Muang",5,50000,1E8A4D9BB46121223E9F8B13C5A27E29,The Dhara Dhevi Chiang Mai,Chiang Mai,TH,"51/4 Chiang Mai-Sankampaeng Road., Moo 1, T. Tasala, A. Muang",5,50000
67CC22A1F69B9C23B2398EF9448450EA,Dream Valley Resort,Krabi,TH,43 Moo 2,3,81000,82E545AA1C7FC5D310AA42A8834A33CA,Dream Valley Resort,Tonsai Beach,TH,"Tonsai Beach, 86 Moo 2, T.Ao Nang, Muang, Krabi",3,81000
4BA0E3A3E6E909942F3892BA900694AE,FX Hotel East Lake Park Shenzhen,Shenzhen,CN,1 Tai Ning Road,3,518020,B1E88E0210BCC775215BDE9C3850CE77,FX Hotel East Lake Park Shenzhen,Shenzhen,CN,No.1 TaiNing Road,4,518020
BBFE42B746C4435B11D59C682FA02415,Condor's House Hostel,Lima,PE,"Calle Martin Napanga 137, Miraflores",2,,18215F811C4A5B0400A14C9B82AD979D,Condor's House,Lima,PE,Martin Napanga 137,0,LIMA 18
3E450E4AF4A57D230A480691C7B26A04,Dong Fang Hotel,Beijing,CN,"No.11 Wan Ming Road, Xicheng District",4,,D450980246198F0BCBFB260F2B6E81F5,Dong Fang Hotel Beijing,Beijing,CN,No.11 Wanming Road,4,100050
349A6D9851A3A054B7CD38262975274F,Atamionsen Yuyado Ichibanchi,Shizuoka,JP,1-2 Kasugacho,3,413-0005,E83006819F324064A63C55D5E38A632E,Atamionsen Yuyadoichibanchi,Atami,JP,Kasugacho 1-2 ,3,413-0005
9B2802EB44511860ED6A6A8840DC7945,Mowbray by the Sea Apartments,Port Douglas,AU,40 Mowbray Street,4,4877,8E88D38EEDF232045A06597EA17613E9,Mowbray By The Sea,Port Douglas,AU,40 Mowbray St,4,4877
E021D56A96E64167700B0A7F4A86F0EC,Benjoy Hotel Shanghai Jinqiao Branch,Shanghai,CN,"No 222, Jin Tai Road, Pudong",3,,3327DA5CCE318D89329BF71FDB80D118,Benjoy Hotel - Jinqiao Branch,Shanghai,CN,No.222 Jintai Road,3,200136
B76FA110D3BC4A3C2BB37E83737F6AF0,Bayswell Park Hotel,Dunbar,GB,16 Bayswell Park Dunbar,3,EH42 1AE,6AEA180DCDFF4DFBDACADA5EB77A184C,Bayswell Park Hotel & Spa,Dunbar,GB,16 Bayswell Park ,0,EH42 1AE
9CF5204B6B8B2CB9AD3E4CEA7E165DC9,Airlie Central Apartments,Whitsunday Islands,AU,14 Waterson Way,4.5,4802,6ED9E546B7BB3E4F8D291568482A3A93,Airlie Central Apartments,Airlie Beach,AU,14 Waterson Way,4.5,4802
051212C509F01866CF36742C0B44EF64,Arenal Hostel Resort,La Fortuna,CR,Calle Principal,4,21007,9E6394375AEA78E3077223D61040C481,Arenal Hostel Resort,Fortuna,CR,Costado sur del templo catolico de la Fortuna ,0,44170
DFE13B02137D6D237C1BAFBFDB415D2B,Caribbean Noosa Resort,Sunshine Coast,AU,15 Noosa Parade,3.5,4558,67577E94367B2EFC073A5C9085A0E31D,Caribbean Noosa,Noosa Heads,AU,15 Noosa Parade,3.5,4567
4CEDF5CD226DF3F4D3328FDEA9719F9B,Chengdu Nine Point International Hotel,Chengdu,CN,"1 South Section,Tianfu Avenue",4,,B9EAC5F4EC02C75CB4A7A1C45698E0D8,Nine Point International Hotel Chengdu,Chengdu,CN,No.1 South Tianfu Avenue,4,610200
ED8CBB6A79D4D450C08805F2FC1D15BF,The Boutique Residence Hotel,Penang,MY,"129 -139, Jalan Masjid Kapitan Keling",4,10400,1E68EF5FC61F046E77B03866DF54F3C8,The Boutique Residence Hotel,George Town,MY,"133, Jalan Masjid Kapitan Keling,",4,10400
40DF4B0DAF2694E604AB983F4CF09BF6,Al Borg Al Watheer,Jazan,SA,Corniche Road,0,12411,C53E13BF445DFC8FE63B25300F65FDDE,Al Borg Al Watheer,Jazan,SA,Corniche Road ,0,12411
3B335418E1202C5AEBF25D8E356E2A5B,Hotel Shiga Sunvally,Nagano,JP,"7148 Hirao,Yamanouchi,Shimotakai-gun",3,381-0401,372550E9C33A24C0FADE78BC80C4D946,Shiga Kogen Hotel Shiga Sunvalley,Yamanouchi,JP,Hirao 7148,3,381-0401
A6D50F2423F8FF3609EAE36C9DB7223F,Biverah Hotel & Suites,Thiruvananthapuram,IN,"Kumarapuram - Pattom Road, Medical College P.O",3,695011,EE2DB2D38519F0C9F993EAF12E3CA732,Biverah Hotel & Suites,Trivandrum,IN,"Kumarapuram, Medical College P.O",3,695011
964F9E2DE7717B7AB00D36C7D6E25FF4,Rodeway Inn,Livingston (MT),US,102 Rogers Lane,2,59047,24E239A63DFBC856E57F4BDFC4319ECF,Rodeway Inn Livingston,Livingston,US,102 Rogers Lane,2,59047
8DC2BFCB5C6C8B05B401BC1BB838052E,Rodeway Inn,Central City (NE),US,1701 31st St.,2,68826,F8C78467E42B0EF99CE766BE99E2640C,Rodeway Inn Central City,Central City,US,1701 31st Street,2,68826
996685FD540931DFF51895CFFF5A61F2,Campanile Compiegne Hotel,Compiegne,FR,70 Avenue de Huy,3,60200,E5F878155D6960493D788003691A609A,Campanile Hotel Compiegne,Compiègne,FR,70 Avenue De Huy,3,60200
3B1D0806FC82F5D39E03BE5F2C67555B,Hotel XYZ,Tacloban City,PH,P. Zamora St. Tacloban City,3.5,6500,7C69CB056019092724C44D91432898DE,Hotel XYZ,Tacloban,PH,"P. Zamora St.Tacloban City, Leyte",4,6500
48BC96B8E9A5801514F6ACAE417DB33E,Hostel El Lechuguero,Cascante,ES,"Romero Street, No.6",2,31520,49717ADE6C296988C46B1A87BAAA644C,Hostal El Lechuguero,Cascante,ES,Romero 6  ,2,31520
C377076DC1E120C8085B02B79F813B9F,Brookside Valley Resort,Rayong,TH,"6 Moo.5, Samnakthong, Muang",3,21100,0B39BCEE3862037408A6351042F4230A,Brookside Valley Resort,Rayong,TH,"6 Moo 5, Tambon Samnakthong Ampur Mueng",3,21100
B9D967341723FC1978AD77A6DB575C1F,Rustika Guest House,Pokhara,NP,"GauriGhat,Lake Side-6",1.5,977,F0A5D71045C1AEB4F00F5C980D17E62D,Rustika Guest House,Pokhara,NP,"Gauri Ghat, House No.32, Lake Side-6",0,977
A074F97D9FB50123663999ED4997F12B,Hotel Dreamtel Kota Kinabalu,Kota Kinabalu,MY,"5, Jalan Padang",3,88000,65A7936B210C24186FB736F4ECF8D365,Dreamtel Kota Kinabalu,Kota Kinabalu,MY,"5, Jalan Padang",3,88000
B77E9E286AD03130F87ECB8CF43E0248,Bella Villa Motor Inn,Forster,AU,19 Lake Street,3.5,2428,85401E497E0BEE6AC881C397651DB116,Bella Villa Motor Inn,Forster,AU,19 Lake Street,3.5,2428
96B0B2ECC5918C442EEE932A2C39370C,F Hotel Hualien,Hualien,TW,"No.203-1, Guosheng 2nd St",3,,C2383F4A63161FEB0205374083002DAB,F Hotel - Hualien,Hualien City,TW,"No. 203-1, Guosheng 2nd Street",3,970
516432F0C42ED0189E2AAB4E9C9B7233,Hotel Folkestone Opera,Paris,FR,9 RUE DE CASTELLANE,3,75008,7F14C3B4286C38A2C3192C6B219EA0FD,Best Western Hôtel Folkestone Opéra,Paris,FR,"9, Rue de Castellane",3,75008
95E1142D7BD16B5218C3288D3D9416E7,Crystal Crown Hotel Kuala Lumpur,Kuala Lumpur,MY,No 3 Jalan Jambu Mawar Off Jalan Kepong,3,52000,32E8C907A49EFBEC0EBC7D027EB145A7,Crystal Crown Hotel Kuala Lumpur,Kuala Lumpur,MY,No 3 Jalan Jambu Mawar Off Jalan Kepong,3,51200
1297882452ED0FACC4E5544599E6E0BE,Angel Rest,Mirissa,LK,"158, Angel Rest House",1,81740,16E71917023A6110FB8D7633652E279B,Angel Rest,Mirissa,LK,"No - 158 '' Angel Rest "" Harbour Road Mirissa",2,81740
C09403C3DE29BE3F888FA2A5DD6CAE9C,Hoa Phuong Hotel,Haiphong,VN,Zone II,2,,D5752AEA52650F80F129E4175E6DB779,Hoa Phuong Hotel,Ðố Sơn,VN,Area 2,0,
BC66673EF950107F4FFEFD756C44D534,Time Travel Pension,Jeju Island,KR,"17-6 Eomjang-ro, Aewol-eup (1054-1 Gueom-ri, Aewol-eup), Jeju-si",2,,FB94A4D6B9137FF8EC36EABF88772AF0,Jeju Time-Travel Pension,Jeju,KR,"1054-1 Gueom-ri, Aewol-eup",1,695-905
31DC64661BA8E2E4AA67BEE524EE551B,Villa One Seminyak,Bali,ID,"Jalan Kayu Aya, Gang Pandu",4,80361,7877ACDC7473598BA5060B7EEC57903B,Villa One Seminyak,Seminyak,ID," Jalan Kayu Aya, Gang Pandu 20 B",4,80361
58AEF20043E721FEB8F037DA94842BF3,Hibiscus Beach Hotel,Wadduwa,LK,"Mahawaskaduwa, Kalutara North",3,,37EE16B7C2A539E7C2A7A64FFE1E43BA,Hibiscus Beach Hotel & Villas,Kalutara,LK,"Mahawaskaduwa, Kalutara North ",3,12000
3EBAE893F5EF9FB05EAC18DD406C65A0,Pavana Villa,Alleppey,IN,"Kakkathurathu road, Eramalloor",3,688537,ABBDD2875317CDCE718EF1182FDEB677,Pavana Villa,Eramalloor,IN,"National Highway 47, Chammanadu, Kodamthuruth, alappuzha, Kerala 688537, India",4,688537
BE9C65427DC52ECE688DA2EBFEEBD5C8,7 Days Inn Hefei Railway Station Branch,Hefei,CN,"100m Southwest of Railway Station, Yaohai District",2,230012,948BBC3F60774EC04A588CC9242C6B2D,7Days Inn Hefei Railway Station,Hefei,CN,100 meter away Southwest of Railway Station,2,230000
4A02405B76FB4F8685C787B06C0EFDC6,Manahara Casa Hotel and Restaurant,Negombo,LK,"No.161, Chilaw Road, Kochikade",3,11540,F4BC128BD0E80CC7A27F17B166E8B3F8,Manahara Casa Hotel & Restaurant,Wayikkal,LK,"No. 161, Chilaw Road, Kochchikade, Negombo",3,11540
B056BE1949A506D43B4244C46DC36F31,Monzi Safaris Luxury Tented Camps,Saint Lucia Estuary,ZA,"81 McKenzie Street, St Lucia, 3936",3.5,3936,1D691AADEB46E22886A5B00D30D297C0,Monzi Safaris Tented Lodge,St Lucia,ZA,81 McKenzie Street,0,3936
F9398B830D104A7A93A062DEECFA147F,Samed Seaside Resort,Koh Samet,TH,1/1 M.4 T.Phe A.Muang Rayong,2,21160,1ED33FC6F55CC7095E0944D940AD22A6,Samed Seaside Resort,Ko Samed,TH,1/1 Moo.4 T.Phae A.Muang Rayong,2,21160
B6B8449D7C44DB06701422950BED0996,P&F Hotel,Taichung,TW,"No.101, Shifu Road",3,40045,F45574A2BDFAE826EC170AE04EF9D4F4,P&F Hotel,Taichung,TW,"No. 101, Shifu Road",2,400
D1BD1FB0ABE3BD8845C354251B29348A,Sails on Main,Whitsunday Islands,AU,55 Herbert Street,0,4805,E43E25ED68DD03539DFAD0A4B0AB50A0,Sails on Main,Bowen,AU,55 Herbert Street,0,4805
D4C967E2A95151B86EBA3428D9400FF4,Balmain Furnished Apartments 704 Margaret Street,Sydney,AU,704/29 Margaret Street,0,2039,8599A15C5E5CD05E710C25D6345FD332,Balmain Self-Contained Modern One-Bedroom Apartment (704MAR),Sydney,AU,704/29 Margaret Street,0,2041
B8264436881617B2E245363C3B9E369E,7 Days Inn Wuhan Hankou Railway Station Second Branch,Wuhan,CN,No.34 Fa Zhan Da Dao,2,,763AB360F2254BF88A4B06B7129AE4BF,7Days Inn WuHan HanKou Railway Station Second,Wuhan,CN,No.34 Fa Zhan Avenue HanKou,2,430023
1A7406B832B34B1679391669BF52DE54,Nirvana Holiday Homes - Marina Diamond 4,Dubai,AE,Dubai Marina,0,,393D30A6D8897914F81F68923500CFCA,Nirvana Holiday Home - Marina Diamond 4,Dubai,AE,MARINA DIAMOND 4,0,
2578434BBC22ED7AFF2F22FD8F632553,Cozy Cozy Guest House,Christchurch,NZ,"12 Taggart Place, Sockburn",0,8041,A85B02B39EACE601A60D5DE9966DDFDD,Cozy Cozy Guest House,Christchurch,NZ,"12 Taggart Place, Sockburn",0,8042
45EA51C0EDDA6556ECAFD56585EDB8F7,Apollo Weekly Apartment at Juso Cosmo,Osaka,JP,"Yodogawa-ku, Jūsōhigashi, 3 Chome−4-9 Cosmo Heights",1,532-0023,FD10B93C83F18E16C2DAED51A721556F,Apollo Weekly Juso Station Osaka,Osaka,JP,"Yodogawa-ku, Juso-Higashi 3-4-9 #103",1,532-0023
98421964C21BACBAEBB45E7A4A9AABFB,Vista Rooms at Dhar Road,Chand,IN,"Hotel Apna PalaceDhar Road, Opp. District Hospital, Indore, Madhya Pradesh",3,452002,E48240033F1B6AA28F2466D2374F0B84,Vista Rooms at Dhar Road,Indore,IN,"Dhar Road, Opp. District Hospital, Madhya Pradesh",0,452002
A36B23A2E0DE5E38E4DC9656D2194C3E,Peermont Metcourt at Frontier Bethlehem,Bethlehem,ZA,Johan Blignaut Drive,3,,C73FF6DCEADEDF3652D678CD790FF167,"Peermont Metcourt at Frontier, Bethlehem",Bethlehem,ZA,Johan Blignaut Drive (N5),3,9700
455E64A645A511F634B69A6A15208327,Al Nabarees Al Raqi Hotel,Jeddah,SA,Al Hamraa Dist. Near United Doctors Hospital,0,22231,73FDD267DF3CD742A300685C6B0D1200,Al Nabarees Al Raqi Furnished Units,Jeddah,SA,Al Hamraa Dist. Near United Doctors Hospital ,0,966
DFC0A6F87D87F4EE1E7AB36B1C605DA2,Bakeroom1 Hostel,Chiang Mai,TH,10/17 NimmanHaemin Road Lane 17,2,50100,E06B2BE5AFB60DBF5999749F5D79E64C,Bake Room,Chiang Mai,TH,"10/17, Nimmana Haeminda Rd Lane 17, Amphoe Mueang Chiang Mai",0,50220
A6453DC8C3CD035F2F097A6184931328,Lanta Sabai Hotel & Bungalows,Koh Lanta,TH,93 Moo 8 Klong Nin Beach,3,81150,7490A12CEFB9A7812041333C6F6E14BB,Lanta Sabai Hotel & Bungalows,Ko Lanta,TH,"93 Moo 8, Koh Lanta Yai, Krabi",3,81150
73D429BC62EFC7149CFB36C6800C289E,Even Suites by Spree,Hampi,IN,Bus Stand Road,3,583201,D564A93B1225C95D7FB0C588DD609EB8,Even Suites - Managed by Spree,Hospet,IN,"343, 4th ward, opp SBI Bank, Hospet India",3,583201
92FAACF453F2589DAFD4CE61590FDE4D,Marrakesh Hua Hin Serviced Apartment,Hua Hin / Cha-am,TH,"63/411 (Marrakesh Condo) Petchakasem Road, Moo Baan Nong Kae",3,77110,5629495860FE1659B42AD7B98FB2D619,Marrakesh Hua Hin Serviced Apartment,Hua Hin,TH,"63/167 Petchkasem Road, Nong-Kae, Hua Hin, Prachuap Khiri Khan (คุณกัญจนา ผู้ดูแล)",3,77100
9364BE7AF985ABDD328AB1632C964C71,Judita Cottage,Samosir,ID,Lingkar Tuktuk Siadong,2,22395,BA66B2437A1AF6E085A688059246A6DA,Judita Cottage,Tuk Tuk,ID,Jalan Lingkar Tuktuk Siadong,2,22395
C3D451A4A87829C118FA6891D57C6524,Hotel Anand Palace,Shirdi,IN,"Opposite Bus Stop, Nagar Manmad Road,Near Temple Gate Number 1",2,423109,437CA44F597946AD68797B7C3E9CFFE5,Hotel Anand Palace,Shirdi,IN,"Nagar-Manmad Road, Opp Bus stop,Near Sai baba trust Hospital",0,423109
1C1D7327EAC836B749C1EB134DC70508,Garden Inn No.52,Guilin,CN,"No 52, Zhuzi Road",2,541200,4250C3DBD316886D725ABB73F3FBFD5D,Garden In No.52,Guilin,CN,"No.52.Zhuzi Alley，Xiangshan,",0,541000
9179C71E2A3917BA11789F15A7F9F346,Guest House Rojiura,Beppu,JP,9-14 Ekimaecho,2,8740935,80319BEC4A715384FE55DE5B310F8D19,Guest House Rojiura,Beppu,JP,Ekimae cho 9-14,2,874-0935
1950A1BFB08B335F9C24B208E6B0D467,Huong Giang Hotel,Halong,VN,"128 Hau Can , Bai Chay Ward",1,,E9E77300376850043D71FCACE29A7256,Huong Giang Hotel,Thuan An,VN,"39/10 ap Hoa Long, Vinh Phu, Thuan An, Binh Duong",0,
BC209CF3FF364B1DC49D69BAE9DB3108,RedDoorz @ Raya Jimbaran,Bali,ID,"Located at Dila Homestay I, Jalan Uluwatu II No. 2, Gang Sudamala, Jimbaran",3,80361,E04F45AF68BE4D09D353D7558CEBDE2A,RedDoorz @ Raya Jimbaran,Jimbaran,ID,"Jalan Uluwatu II No. 2, Gang Sudamala",2,80361
B1AD9903471EDEEDA0B00BD86E96889C,Guest House Bye Rome,Rome,IT,92/94/96 Principe Amedeo Street,0,185,0E2C160E23F9DA5F57F5FB17BE483705,Bye Rome Guesthouse,Rome,IT,Via Principe Amedeo 92/94,0,185
E62BD1464350633DC33A039DE5DFCA57,Healesville Garden Accommodation,Yarra Valley,AU,28 Symons Street,4,3777,3DC8E22C984F3696F1B04EFA05277269,Healesville Garden Accommodation,Healesville,AU,28-30 Symons Street,4,3777
6AEC371BACA617BAA3B04D6C51F1F306,Hotel Soul Suzhou,Suzhou,CN,"27-33, Qiaosikong Xiang",4,215005,A2D0D2B21C8A5B9E45E15E76068A853B,Hotel Soul Suzhou,Suzhou,CN,"No.27-33,Qiaosikong Lane",0,215005
C0A3EAB00393C89313E8109BB6504A68,Aonang Villa Resort,Krabi,TH,"113, Moo 2",4,81180,6A111B05A752AE5640228A730C7FF791,Aonang Villa Resort,Ao Nang Beach,TH,"113 Moo2 Muang, Krabi",4,81000
252394C959176CAEC680410385266560,HOTEL MYSTAYS Sakaisuji-Honmachi,Osaka,JP,"1-4-8 Awaji-machi, Chuo-ku",3,541-0047,9645BC2CC5601C83DEFA6E65F3D7084B,HOTEL MYSTAYS Sakaisuji Honmachi,Osaka,JP,Chuo-ku Awajimachi 1-4-8,3,541-0047
A93A7475FD8C285A296F5E867306F5B6,Days Inn Gilroy,Gilroy (CA),US,8292 Murray Avenue,2,95020,5793D3389ED374077FB52EDF7F1B0C67,Days Inn Gilroy,Gilroy,US,8292 Murray Avenue,2,95020
32856C5BE55D247C75E541629C2F835C,Aburaya Tousen,Nagano,JP,"2586-5 Sano, Yamanouchimachi, Shimotakai-gun",4,381-0402,03774D4C42EF05D75021E3905CFFCB8F,Aburaya Tousen,Yamanouchi,JP,Sano 2586-5 ,4,381-0402
A9DF17BB7B098AB387A62D2C532D38C1,Hilton Orlando Lake Buena Vista,Orlando (FL),US,1751 Hotel Plaza Boulevard,4,32830,AF074EDFB4940BE0ED1D4FCFC4EA0DEE,Hilton Orlando Lake Buena Vista - Disney Springs™ Area,Orlando,US,1751 Hotel Plaza Boulevard,4,32830
C27CCB4CCA85021B57384D591A68E0BF,Best Western Dulles Airport Inn,Sterling (VA),US,45440 Holiday Drive,3,20166,D657F2522DF6A108821448932F8AB6D6,Best Western Dulles Airport Inn,Sterling,US,45440 Holiday Drive,2,20166
D92C501D8573517CCAE8E353C71DBABD,Hanwha Resort Seorak Sorano,Sokcho-si,KR,111 Misiryeong-ro 2983beon-gil (24-1 Jangsa-dong),4,,A6759E335B4E1BA245ECEDBCF98DF2B6,Hanwha Resort Seorak Sorano,Sokcho,KR,"111, Misiryeong-ro 2983beon-gil",3,217-130
EAE69DDE3F7BE204B424CE9D9522775C,Sutus Court 5,Pattaya,TH,"420/100 Moo 9 Soi Buakhaw, Nong Prue, Banglamung, Chonburi",2,20150,EC82C9507F55E67293EA061273529FD0,Sutus Court 5,Pattaya Central,TH,"420/100 Moo 9 Soi Buakhao, Pattaya, Chonburi",1,20150
78F8ABCD13D309998A516D833DEF5D26,Faircity Quatermain Hotel,Johannesburg,ZA,"60 West Road South, Morningside",4,2196,F36D320BB521E8466678F40C075E96C6,Faircity Quatermain Hotel,Johannesburg,ZA,"60 West Road South, Morningside",4,2196
FFCBE2F9F27DC4332DE7D921C1FF33C0,The Torch Doha,Doha,QA,"Al Waab Street,  Aspire Zone",5,,FCAE1C812266E699B33E91521B48049F,The Torch Doha,Doha,QA,"Al Waab Street, Aspire Zone",5,
3B39551CFF403796BE93CFB1FD68E9BF,The Blue Boar Inn,Stratford Upon Avon,GB,Temple Grafton,3,b49 6nr,75E4B350D35C7E5892CFD9432683C990,The Blue Boar,Alcester,GB,Temple Grafton,3,B49 6NR
9FBE01B3BBB6988E15EB53C050C7BBB3,Tsukuba Daily-Inn,Ibaraki,JP,"1-12-4, Sengen, Tsukuba-shi",3,305-0047,E4105004BF0759839FAD8C4A7265B986,Tsukuba Daily Inn,Tsukuba,JP,Sengen 1-12-4,3,305-0047
B27D5296BEDE63B1493A5D321D4E8092,Bayview Eden Hotel,Melbourne,AU,"6 Queens Road,",4,,188985223B43B289A840C82EE7BFFD84,Bayview Eden Melbourne,Melbourne,AU,6 Queens Road,4,3004
8F0EA16BDEC6C8D5F246E5108D4AE44F,Rothbury Escape Guesthouse,Hunter Valley,AU,310 Talga Road,4,2320,0859736242F52D9294D5B0DA6C325566,Rothbury Escape,Rothbury,AU,310 Talga Rd,4,2320
